STT,MaSo,Thuoc,dvt,dongia,tondauky_sl,tondauky_thanhtien,nhaptrongky_sl,nhaptrongky_thanhtien,xuattrongky_sl,xuattrongky_thanhtien,toncuoiky_sl,toncuoiky_thanhtien,thang,nam,hoatchat_dvt
17,POVI01,"Povidone 10%  [Povidon iodin](Lô:18003HN),Date 270320)'HSX:Mekophar' 'NSX:Việt Nam",Chai,14500,63,913500,0,0,12,174000,51,739500,2,2019,
18,BETA01,"Betadine Gargle & Mouthwash 1% [Povidon iodin](Lô:18K604K5),Date 021121)'HSX:Mundipharma Pharmaceuticals Ltd.' 'NSX:Cyprus",Chai,56507.85,0,0,216,12205696,10,565078.52,206,11640617.48,2,2019,
19,BETA01,"Betadine Gargle & Mouthwash 1% [Povidon iodin](Lô:18J572K5),Date 161021)'HSX:Mundipharma Pharmaceuticals Ltd.' 'NSX:Cyprus",Chai,56507.85,213,12036172.44,0,0,213,12036172.44,0,0,2,2019,
20,BETA02,"Betadine Antiseptic Solution 125ml W/v 10% [Povidon iodin](Lô:18H474K5),Date 200823)'HSX:Mundipharma Pharmaceuticals Ltd.' 'NSX:Cyprus",Chai,42399,0,0,108,4579092,0,0,108,4579092,2,2019,
21,BETA02,"Betadine Antiseptic Solution 125ml W/v 10% [Povidon iodin](Lô:18F396K5),Date 290623)'HSX:Mundipharma Pharmaceuticals Ltd.' 'NSX:Cyprus",Chai,42399,116,4918284,0,0,93,3943107,23,975177,2,2019,
22,ALDA01,"Aldactone 25mg [Spironolacton](Lô:1709016),Date 010520)'HSX:Olic (Thailand) Ltd' 'NSX:Thái Lan",Viên,1975,12304,24300398.17,0,0,7598,15006049.24,4706,9294348.93,2,2019,spironolacton_25_vien
23,ALDA01,"Aldactone 25mg [Spironolacton](Lô:1709016),Date 010520)'HSX:Olic (Thailand) Ltd' 'NSX:Thái Lan",Viên,1975,1000,1975000,0,0,0,0,1000,1975000,2,2019,spironolacton_25_vien
24,ALDA01,"Aldactone 25mg [Spironolacton](Lô:1709019),Date 010620)'HSX:Olic (Thailand) Ltd' 'NSX:Thái Lan",Viên,1975,0,0,15000,29624999,0,0,15000,29624999,2,2019,spironolacton_25_vien
25,AGIF01,"Agifuros 40mg [Furosemid ](Lô:021118),Date 281121)'HSX:Công ty cổ phần dược phẩm Agimexpharm' 'NSX:Việt Nam",Viên,97,4875,472870.13,0,0,518,50245.48,4357,422624.64,2,2019,
26,VERO01,"Verospiron 25mg [Spironolacton](Lô:T81013A),Date 060121)'HSX:Gedeon Richter Plc.' 'NSX:Hungary",Viên,1785,3000,5355000,0,0,0,0,3000,5355000,2,2019,spironolacton_25_vien
27,FURO01,"Furosemid A.T( inj) 20mg/2ml [Furosemid](Lô:1098010),Date 091020)'HSX:Công ty Cổ phần Dược phẩm An Thiên' 'NSX:Việt Nam",Ống,1029,377,387933,0,0,293,301497,84,86436,2,2019,
28,FURO01,"Furosemid A.T( inj) 20mg/2ml [Furosemid](Lô:1098011),Date 101020)'HSX:Công ty Cổ phần Dược phẩm An Thiên' 'NSX:Việt Nam",Ống,1029,500,514500,0,0,0,0,500,514500,2,2019,
29,GAS001,"Gastropulgite 2,5g + 0,5g [Attapulgit mormoiron hoạt hóa + hỗn hợp magnesi carbonat-nhôm hydroxyd](Lô:),Date 010320)'HSX:Beaufour Ipsen Industrie' 'NSX:Pháp",gói,3053,538,1642514,0,0,0,0,538,1642514,2,2019,
30,NEX002,"Nexium 40mg Esomeprazole [Esomeprazol](Lô:),Date 010519)'HSX:AstraZeneca AB' 'NSX:Sweden",lọ,153559.99,41,6295959.59,0,0,41,6295959.59,0,0,2,2019,
31,NEX003,"Nexium 10mg [Esomeprazol](Lô:),Date 010820)'HSX:AstraZeneca AB' 'NSX:Sweden",gói,22456,85,1908759.9,0,0,0,0,85,1908759.9,2,2019,
32,NEX003,"Nexium 10mg [Esomeprazol](Lô:),Date 010820)'HSX:AstraZeneca AB' 'NSX:Sweden",gói,22456,376,8443456,0,0,89,1998584,287,6444872,2,2019,
33,PAN003,"Pantoloc I.V 40mg [Pantoprazol](Lô:399214),Date 070319)'HSX:Takeda GmbH' 'NSX:Germany",lọ,145999.35,168,24527890.8,0,0,61,8905960.35,107,15621930.45,2,2019,
34,NEX0013,"Nexium 40mg Esomeprazole [Esomeprazol](Lô:PCAH),Date 010220)'HSX:AstraZeneca AB' 'NSX:Sweden",lọ,153559.99,391,60041956.09,0,0,199,30558438.01,192,29483518.08,2,2019,
35,NEX0013,"Nexium 40mg Esomeprazole [Esomeprazol](Lô:PCCL),Date 010920)'HSX:AstraZeneca AB' 'NSX:Sweden",lọ,153559.99,0,0,600,92135994,0,0,600,92135994,2,2019,
36,NEX0042,"Nexium Mups 40mg Esomeprazole [Esomeprazol](Lô:ZKPV),Date 010420)'HSX:AstraZeneca AB' 'NSX:Sweden",viên,22456,433,9723447.78,0,0,433,9723447.78,0,0,2,2019,
37,NEX0042,"Nexium Mups 40mg Esomeprazole [Esomeprazol](Lô:ZKZC),Date 010820)'HSX:AstraZeneca AB' 'NSX:Sweden",viên,22456,980,22006880,0,0,67,1504552,913,20502328,2,2019,
38,PANT01,"Pantoloc I.V 40mg [Pantoprazol](Lô:422957),Date 070220)'HSX:Takeda GmbH' 'NSX:Đức",Lọ,145999.35,1000,145999350,0,0,0,0,1000,145999350,2,2019,
39,PANT01,"Pantoloc I.V 40mg [Pantoprazol](Lô:418440),Date 071219)'HSX:Takeda GmbH' 'NSX:Đức",Lọ,145999.35,19,2773987.65,0,0,19,2773987.65,0,0,2,2019,
40,PANT02,"Pantoloc 40mg [Pantoprazol](Lô:433554),Date 041121)'HSX:Takeda GmbH' 'NSX:Đức",Viên,18498.9,1050,19423845,0,0,0,0,1050,19423845,2,2019,
41,PANT02,"Pantoloc 40mg [Pantoprazol](Lô:429193),Date 160821)'HSX:Takeda GmbH' 'NSX:Đức",Viên,18498.9,738,13652188.2,0,0,702,12986227.8,36,665960.4,2,2019,
42,KAGA02,"Kagasdine 20mg [Omeprazol](Lô:1430918),Date 010921)'HSX:Công ty cổ phần dược phẩm Khánh Hoà' 'NSX:Việt Nam",Viên,127,2702,343154,0,0,2702,343154,0,0,2,2019,omeprazol_20_vien
43,KAGA02,"Kagasdine 20mg [Omeprazol](Lô:3771218),Date 011221)'HSX:Công ty cổ phần dược phẩm Khánh Hoà' 'NSX:Việt Nam",Viên,127,10000,1270000,0,0,2679,340233,7321,929767,2,2019,omeprazol_20_vien
44,GEBH01,"Gebhart 4mg + 3g [Guaiazulen + dimethicon ](Lô:18065),Date 051221)'HSX:Công ty cổ phần dược phẩm Đạt Vi Phú' 'NSX:Việt Nam",Gói,4200,2160,9072000,390,1638000,2160,9072000,390,1638000,2,2019,guaiazulen_dimethicon_goi
45,GEBH01,"Gebhart 4mg + 3g [Guaiazulen + dimethicon ](Lô:18053),Date 061121)'HSX:Công ty cổ phần dược phẩm Đạt Vi Phú' 'NSX:Việt Nam",Gói,4200,0,0,0,0,0,0,0,0,2,2019,guaiazulen_dimethicon_goi
46,GEBH01,"Gebhart 4mg + 3g [Guaiazulen + dimethicon ](Lô:18066),Date 061221)'HSX:Công ty cổ phần dược phẩm Đạt Vi Phú' 'NSX:Việt Nam",Gói,4200,0,0,2160,9072000,1743,7320600,417,1751400,2,2019,guaiazulen_dimethicon_goi
47,GEBH01,"Gebhart 4mg + 3g [Guaiazulen + dimethicon ](Lô:18057),Date 071121)'HSX:Công ty cổ phần dược phẩm Đạt Vi Phú' 'NSX:Việt Nam",Gói,4200,287,1205400,0,0,287,1205400,0,0,2,2019,guaiazulen_dimethicon_goi
48,GEBH01,"Gebhart 4mg + 3g [Guaiazulen + dimethicon ](Lô:18079),Date 251221)'HSX:Công ty cổ phần dược phẩm Đạt Vi Phú' 'NSX:Việt Nam",Gói,4200,0,0,1770,7434000,0,0,1770,7434000,2,2019,guaiazulen_dimethicon_goi
49,LAHM02,"Lahm 800mg + 611,76mg + 80mg [Magnesi hydroxyd + nhôm hydroxyd + simethicon](Lô:18307),Date 201121)'HSX:Công ty cổ phần dược phẩm Đạt Vi Phú' 'NSX:Việt Nam",Gói,3249.99,1116,3626990.33,0,0,431,1400746.26,685,2226244.06,2,2019,
50,MET002,"Metoclopramid Kabi 10mg [Metoclopramid](Lô:86LEA008),Date 100520)'HSX:Công ty Cổ phần Fresenius Kabi Bidiphar' 'NSX:Việt Nam",ống,1994,89,177466,0,0,32,63808,57,113658,2,2019,
51,ALO002,"Aloxi 0,25mg/5ml [Palonosetron hydroclorid](Lô:37002582),Date 300422)'HSX:Helsinn Birex Pharmaceuticals Ltd' 'NSX:Ireland",lọ,1666500,20,33330000,0,0,0,0,20,33330000,2,2019,
52,ALO001,"Aloxi 0,25mg/5ml [Palonosetron hydroclorid](Lô:37001612),Date 311221)'HSX:Helsinn Birex Pharmaceuticals Ltd' 'NSX:Ireland",lọ,1666500,4,6666000,0,0,0,0,4,6666000,2,2019,
53,SPA001,"Spasmaperin 40mg [Alverin (citrat)](Lô:61014),Date 270919)'HSX:Sanofi Winthrop Industrie' 'NSX:Việt Nam",viên,648.9,372,241390.8,0,0,4,2595.6,368,238795.2,2,2019,
54,BUSC01,"Buscopan 20 mg/ml [Hyoscin butylbromid](Lô:727781A),Date 270622)'HSX:Boehringer Ingelheim Espana S.A' 'NSX:Tây Ban Nha",Ống,8375.96,84,703580.64,0,0,14,117263.44,70,586317.2,2,2019,
55,BUSC02,"Buscopan 10mg [Hyoscin butylbromid](Lô:180687),Date 300521)'HSX:Delpharm Reims' 'NSX:Pháp",Viên,1119.99,100,111999,0,0,0,0,100,111999,2,2019,
56,ATR0021,"Atropin sulfat 0,25mg [Atropin (sulfat)](Lô:20217),Date 260220)'HSX:Công ty cổ phần dược phẩm Vĩnh Phúc' 'NSX:Việt Nam",ống,720,85,61200,0,0,0,0,85,61200,2,2019,
57,BUS002,"Buscopan 10mg [Hyoscin butylbromid](Lô:170660),Date 300320)'HSX:Delpharm Reims' 'NSX:France",viên,1119.99,37,41439.63,0,0,2,2239.98,35,39199.65,2,2019,
58,DUP001,"Duphalac 10g/15ml [Lactulose](Lô:354535),Date 300420)'HSX:Abbott Biologicals B.V' 'NSX:Hà lan",gói,2863.98,202,578523.96,0,0,169,484012.62,33,94511.34,2,2019,
59,DUPH01,"Duphalac 10g/15ml [Lactulose](Lô:357030),Date 310520)'HSX:Abbott Biologicals B.V' 'NSX:Hà lan",Gói,2727.95,380,1036621.95,0,0,2,5455.91,378,1031166.05,2,2019,
60,SORB01,"Sorbitol Bidiphar 5g [Sorbitol](Lô:18005),Date 021121)'HSX:Công ty cổ phần Dược - TTBYT Bình Định (Bidiphar)' 'NSX:Việt Nam",Gói,441,0,0,200,88200,0,0,200,88200,2,2019,
61,SORB01,"Sorbitol Bidiphar 5g [Sorbitol](Lô:18002),Date 190521)'HSX:Công ty cổ phần Dược - TTBYT Bình Định (Bidiphar)' 'NSX:Việt Nam",Gói,441,90,39690,0,0,3,1323,87,38367,2,2019,
62,DIO001,"Diosmectit 3g [Diosmectit](Lô:0240918),Date 300920)'HSX:Công ty cổ phần dược Vacopharm' 'NSX:Việt Nam",gói,1479.55,651,963189.84,0,0,96,142037.21,555,821152.63,2,2019,
63,DAF001,"Daflon 450mg + 50mg [Diosmin + hesperidin](Lô:641095),Date 010322)'HSX:Les Laboratoires Servier Industrie' 'NSX:Pháp",viên,3258,1329,4329881.78,0,0,1329,4329881.78,0,0,2,2019,diosmine_hesperidin_450_50_vien
64,DAFL01,"Daflon 450mg + 50mg [Diosmin + hesperidin](Lô:646371),Date 010722)'HSX:Les Laboratoires Servier Industrie' 'NSX:Pháp",Viên,3258,2901,9451458,0,0,705,2296890,2196,7154568,2,2019,diosmine_hesperidin_450_50_vien
65,SOL001.,"Solu-Medrol 125mg Methylprednisolon [Methyl prednisolon](Lô:T74977),Date 010720)'HSX:Pharmacia & UpJohn company' 'NSX:USA",lọ,75710,0,0,1500,113564999,0,0,1500,113564999,2,2019,
66,SOL001.,"Solu-Medrol 125mg Methylprednisolon [Methyl prednisolon](Lô:T74977),Date 010720)'HSX:Pharmacia & UpJohn company' 'NSX:USA",lọ,75710,1200,90852000,0,0,262,19836020,938,71015980,2,2019,
67,SOL001.,"Solu-Medrol 125mg Methylprednisolon [Methyl prednisolon](Lô:S45738),Date 011219)'HSX:Pharmacia & UpJohn company' 'NSX:USA",lọ,75710,78,5905380,0,0,78,5905380,0,0,2,2019,
68,SOLU01,"Solu-Medrol 40mg [Methyl prednisolon](Lô:X10036),Date 010420)'HSX:Pfizer Manufacturing Belgium NV' 'NSX:Bỉ",Lọ,36410,0,0,1920,69907198,0,0,1920,69907198,2,2019,
69,SOLU01,"Solu-Medrol 40mg [Methyl prednisolon](Lô:X10034),Date 010520)'HSX:Pfizer Manufacturing Belgium NV' 'NSX:Bỉ",Lọ,36410,847,30839270,0,0,696,25341360,151,5497910,2,2019,
70,DEPO01,"Depo-medrol 40mg [Methyl prednisolon](Lô:W45200),Date 010121)'HSX:Pfizer Manufacturing Belgium NV' 'NSX:Bỉ",Lọ,34669.99,160,5547198,0,0,0,0,160,5547198,2,2019,
71,DEPO01,"Depo-medrol 40mg [Methyl prednisolon](Lô:W45200),Date 010121)'HSX:Pfizer Manufacturing Belgium NV' 'NSX:Bỉ",Lọ,34669.99,176,6101919,0,0,0,0,176,6101919,2,2019,
72,DEPO01,"Depo-medrol 40mg [Methyl prednisolon](Lô:W45200),Date 010121)'HSX:Pfizer Manufacturing Belgium NV' 'NSX:Bỉ",Lọ,34670,40,1386800,0,0,0,0,40,1386800,2,2019,
73,DEPO01,"Depo-medrol 40mg [Methyl prednisolon](Lô:W42823),Date 011220)'HSX:Pfizer Manufacturing Belgium NV' 'NSX:Bỉ",Lọ,34669.99,24,832079.76,0,0,0,0,24,832079.76,2,2019,
74,MEDR01,"Medrol 4mg [Methyl prednisolon](Lô:W23132),Date 011120)'HSX:Pfizer Italia S.r.l' 'NSX:Ý",Viên,983,43200,42465593,0,0,93,91418.99,43107,42374174.01,2,2019,methylprednisolon_4_vien
75,MEDR02,"Medrol 16mg [Methyl prednisolon](Lô:W88715),Date 010220)'HSX:Pfizer Italia S.r.l' 'NSX:Ý",Viên,3672,26580,97601755.2,0,0,205,752759.96,26375,96848995.24,2,2019,methylprednisolon_16_vien
76,PREF01,"Preforin Injection 40mg [Methyl prednisolon](Lô:T18013K),Date 010421)'HSX:Myungmoon Pharm.Co., Ltd' 'NSX:Korea",Lọ,29999.99,0,0,810,24299993,0,0,810,24299993,2,2019,
77,MEDE01,"Medexa 16mg [Methyl prednisolon](Lô:49H0426),Date 010722)'HSX:PT. Dexa Medica' 'NSX:Indonesia",Viên,2568,12694,32598192,18000,46224000,11970,30738960,18724,48083232,2,2019,methylprednisolon_16_vien
78,MEDE02,"Medexa 4mg [Methyl prednisolon](Lô:4910176),Date 010422)'HSX:PT. Dexa Medica' 'NSX:Indonesia",Viên,856,0,0,0,0,0,0,0,0,2,2019,methylprednisolon_4_vien
79,MEDE02,"Medexa 4mg [Methyl prednisolon](Lô:49H0413),Date 010722)'HSX:PT. Dexa Medica' 'NSX:Indonesia",Viên,856,16886,14454416,25000,21400000,11846,10140176,30040,25714240,2,2019,methylprednisolon_4_vien
80,HYDR01,"Hydrocortison A.T 100mg [Hydrocortison  ](Lô:0808014),Date 051220)'HSX:Công ty Cổ phần Dược phẩm An Thiên' 'NSX:Việt Nam",Lọ,7350,0,0,0,0,0,0,0,0,2,2019,
81,HYDR01,"Hydrocortison A.T 100mg [Hydrocortison  ](Lô:0808015),Date 071220)'HSX:Công ty Cổ phần Dược phẩm An Thiên' 'NSX:Việt Nam",Lọ,7350,1203,8842050,1000,7350000,902,6629700,1301,9562350,2,2019,
82,DEXA01,"Dexamethasone 4mg/1ml [Dexamethason phosphat ](Lô:00118),Date 031221)'HSX:Công ty cổ phần dược phẩm Trung ương 2' 'NSX:Việt Nam",Ống,885,8687,7687995,0,0,2312,2046120,6375,5641875,2,2019,dexamethason_4mg_lo
83,ORGA01,"Orgametril 5mg [Lynestrenol](Lô:R025042),Date 110723)'HSX:N.V.Organon' 'NSX:Hà lan",Viên,1899.98,1456,2766364.09,900,1709978,490,930987.91,1866,3545354.17,2,2019,
84,LAN0012,"Lantus® 100 đơn vị/ml (1000 đơn vị /lọ 10ml) [Insulin tác dụng chậm, kéo dài (Slow-acting, Long-acting)](Lô:8F549A),Date 280221)'HSX:Sanofi-Aventis Deutschland GmbH' 'NSX:Germany",lọ,505029,20,10100580,0,0,0,0,20,10100580,2,2019,
85,LAN0012,"Lantus® 100 đơn vị/ml (1000 đơn vị /lọ 10ml) [Insulin tác dụng chậm, kéo dài (Slow-acting, Long-acting)](Lô:8F247A),Date 300621)'HSX:Sanofi-Aventis Deutschland GmbH' 'NSX:Germany",lọ,505029,0,0,10,5050290,0,0,10,5050290,2,2019,
86,LAN0012,"Lantus® 100 đơn vị/ml (1000 đơn vị /lọ 10ml) [Insulin tác dụng chậm, kéo dài (Slow-acting, Long-acting)](Lô:7F539B),Date 310520)'HSX:Sanofi-Aventis Deutschland GmbH' 'NSX:Germany",lọ,505029,9,4545261,0,0,8,4040232,1,505029,2,2019,
87,DIAM01,"Diamicron MR 30mg [Gliclazid](Lô:645129),Date 010521)'HSX:Les Laboratoires Servier Industrie' 'NSX:Pháp",Viên,2865,1440,4125600,0,0,673,1928145,767,2197455,2,2019,
88,DIAM01,"Diamicron MR 30mg [Gliclazid](Lô:652936),Date 011021)'HSX:Les Laboratoires Servier Industrie' 'NSX:Pháp",Viên,2780,4800,13344000,0,0,0,0,4800,13344000,2,2019,
89,GLUC07,"Glucofine 1000mg [Metformin](Lô:0551018),Date 181021)'HSX:Công ty Cổ phần xuất nhập khẩu y tế Domesco' 'NSX:Việt Nam",Viên,567,900,510300,0,0,56,31752,844,478548,2,2019,
90,MEFO01,"Mefomid 850mg [Metformin](Lô:18006),Date 250721)'HSX:Công ty cổ phần Dược - TTBYT Bình Định (Bidiphar)' 'NSX:Việt Nam",Viên,249,179,44570.54,0,0,179,44570.54,0,0,2,2019,
91,ACTR01,"Actrapid 100 IU/ml [Insulin tác dụng nhanh, ngắn (Fast-acting, Short-acting) ](Lô:HS66L61),Date 010920)'HSX:Novo Nordisk A/S' 'NSX:Đan Mạch",Lọ,100999.5,4,403998,0,0,4,403998,0,0,2,2019,
92,ACTR01,"Actrapid 100 IU/ml [Insulin tác dụng nhanh, ngắn (Fast-acting, Short-acting) ](Lô:HS67D10),Date 311020)'HSX:Novo Nordisk A/S' 'NSX:Đan Mạch",Lọ,100999.5,30,3029985,0,0,6,605997,24,2423988,2,2019,
93,MIXT01,"Mixtard 30 100IU/ml [Insulin trộn, hỗn hợp (Mixtard-acting, Dual-acting)](Lô:HS66S30),Date 011120)'HSX:Novo Nordisk A/S' 'NSX:Đan Mạch",Lọ,100999.5,10,1009995,0,0,0,0,10,1009995,2,2019,
94,IMM003,"ImmunoRel 2.500mg/50ml (IgG tối thiểu 95%) [Immune globulin](Lô:),Date 010819)'HSX:Reliance life sciences PVT.LTD' 'NSX:India",chai,2550000,7,17850000,0,0,1,2550000,6,15300000,2,2019,
95,IVG001,"IV Globulin SN inj 2.500mg (IgG tối thiểu 95%) [Immune globulin](Lô:),Date 060220)'HSX:Greencross Corporation' 'NSX:Korea",lọ,2909999.4,3,8729998.2,0,0,0,0,3,8729998.2,2,2019,
96,KED002,"Kedrigamma 50mg/ml [Immune globulin](Lô:167503),Date 310519)'HSX:Kedrion S.P.A' 'NSX:Italy",chai,3699998.4,35,129499944,0,0,0,0,35,129499944,2,2019,
97,INTR01,"Intratect 2.500mg (IgG tối thiểu 95%) [Immune globulin](Lô:B792508),Date 311021)'HSX:Sản xuất: Biotest AG; Xuất xưởng: Biotest Pharma GmbH' 'NSX:Đức",Lọ,3295000,0,0,80,263600000,0,0,80,263600000,2,2019,
98,THAL01,"Thalidomid 100mg [Thalidomid](Lô:00117),Date 300820)'HSX:Công ty cổ phần dược phẩm Trung ương 2' 'NSX:Việt Nam",Viên,94400,2337,220612800,3000,283200000,677,63908800,4660,439904000,2,2019,
99,ATR001,"Atracurium- Hameln 25mg/2,5ml [Atracurium besylat](Lô:706069),Date 010219)'HSX:Hameln Pharmaceuticals GmbH' 'NSX:Germany",ống,42820,52,2226640,0,0,0,0,52,2226640,2,2019,
100,NATR07,"Natri clorid 0,9% 10 ml (Nhỏ mắt, nhỏ mũi) 90mg [Natri clorid](Lô:18214),Date 250721)'HSX:Công ty cổ phần Dược - TTBYT Bình Định (Bidiphar)' 'NSX:Việt Nam",Lọ,1491,5,7455,0,0,5,7455,0,0,2,2019,
101,NATR07,"Natri clorid 0,9% 10 ml (Nhỏ mắt, nhỏ mũi) 90mg [Natri clorid](Lô:18286),Date 280921)'HSX:Công ty cổ phần Dược - TTBYT Bình Định (Bidiphar)' 'NSX:Việt Nam",Lọ,1491,200,298200,0,0,39,58149,161,240051,2,2019,
102,DIA002,"Diazepam 2ml 10mg [Diazepam](Lô:020518),Date 010521)'HSX:Chi nhánh công ty  cổ phần dược phẩm trung ương Vidipha tai Bình Dương' 'NSX:Việt Nam",ống,4473,41,183393,0,0,3,13419,38,169974,2,2019,
103,DIA003,"Diazepam 5mg 5mg [Diazepam](Lô:061117),Date 011120)'HSX:Chi nhánh công ty  cổ phần dược phẩm trung ương Vidipha tai Bình Dương' 'NSX:Việt Nam",viên,240,11,2640,0,0,11,2640,0,0,2,2019,
104,VEN003,"Ventolin Nebules 2,5mg/2,5ml Salbutamol [Salbutamol (sulfat)](Lô:),Date 010320)'HSX:GlaxoSmithKline Australia Pty., Ltd.' 'NSX:Úc",ống,4575,60,274500,0,0,25,114375,35,160125,2,2019,
105,VEL001,"Ventolin Inhaler 100mcg/liều xịt [Salbutamol (sulfat)](Lô:B54P),Date 010520)'HSX:Glaxo Wellcome S.A' 'NSX:Spain",bình,76379,2,152758,0,0,0,0,2,152758,2,2019,
106,VEL001,"Ventolin Inhaler 100mcg/liều xịt [Salbutamol (sulfat)](Lô:GU4H),Date 010620)'HSX:Glaxo Wellcome S.A' 'NSX:Spain",bình,76378.93,7,534652.5,0,0,0,0,7,534652.5,2,2019,
107,VEL001,"Ventolin Inhaler 100mcg/liều xịt [Salbutamol (sulfat)](Lô:GU4H),Date 010620)'HSX:Glaxo Wellcome S.A' 'NSX:Spain",bình,76379,1,76379,0,0,0,0,1,76379,2,2019,
108,VEN002,"Ventolin Nebules 2,5mg/2,5ml Salbutamol [Salbutamol (sulfat)](Lô:),Date 010720)'HSX:GlaxoSmithKline Australia Pty., Ltd.' 'NSX:Australia",ống,4575,191,873824.87,0,0,85,388874.94,106,484949.93,2,2019,
109,VEN002,"Ventolin Nebules 2,5mg/2,5ml Salbutamol [Salbutamol (sulfat)](Lô:FV0616),Date 010821)'HSX:GlaxoSmithKline Australia Pty., Ltd.' 'NSX:Australia",ống,4575,90,411750,0,0,0,0,90,411750,2,2019,
110,VEN002,"Ventolin Nebules 2,5mg/2,5ml Salbutamol [Salbutamol (sulfat)](Lô:FV0619),Date 011021)'HSX:GlaxoSmithKline Australia Pty., Ltd.' 'NSX:Australia",ống,4575,360,1646999.5,0,0,0,0,360,1646999.5,2,2019,
111,ESO001,"Esomez 200mg [N-acetylcystein](Lô:240717),Date 050719)'HSX:Công ty Cổ phần xuất nhập khẩu y tế Domesco' 'NSX:Việt Nam",gói,406.35,53,21536.55,0,0,53,21536.55,0,0,2,2019,
112,TER001,"Terpin Codein 100mg+10mg [Terpin+Codein](Lô:),Date 210520)'HSX:Mekophar' 'NSX:Việt Nam",viên,362,1103,399286,0,0,280,101360,823,297926,2,2019,
