"","ma","thuoc","ThuongMai","dvt","hoatchat","nhomBD","nhomdieutri","tondauky_sl","tondauky_thanhtien","nhaptrongky_sl","nhaptrongky_thanhtien","xuattrongky_sl","xuattrongky_thanhtien","toncuoiky_sl","toncuoiky_thanhtien","thang","nam"
"35","ACEL02","Acellbia 500mg/50ml [Rituximab](Lô:),Date )'HSX:""BIOCAD"" Closed Joint Stock Company (""BIOCAD"" CJSC)' 'NSX:Nga","Acellbia","lo","rituximab_500mg_50ml",2,18,0,0,20,2.52e+08,1,12600000,19,239400000,12,2018
"36",NA,"acemuc(n-acetylcystein ), 200mg,gói (sanofi ,việt nam)","acemuc","goi","n_acetylcystein_200",2,46,2100,3576294,0,0,4,6812,2096,3569482,1,2014
"37",NA,"acemuc(n-acetylcystein ), 200mg,gói (sanofi ,việt nam)","acemuc","goi","n_acetylcystein_200",2,46,0,0,100,39820.2,100,39820.2,0,0,1,2014
"38",NA,"acemuc(n-acetylcystein ), 200mg,gói (sanofi ,việt nam)","acemuc","goi","n_acetylcystein_200",2,46,2096,3569482,0,0,362,616480,1734,2953002,2,2014
"39",NA,"acemuc(n-acetylcystein ), 200mg,gói (sanofi ,việt nam)","acemuc","goi","n_acetylcystein_200",2,46,1734,2953002,0,0,722,1229566,1012,1723436,3,2014
"40",NA,"acemuc(n-acetylcystein ), 200mg,gói (sanofi ,việt nam)","acemuc","goi","n_acetylcystein_200",2,46,1012,1723436,0,0,612,1042236,400,681200,4,2014
"41","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam)","aceronko","vien","acenocoumarol_4",2,27,0,0,300,854998,0,0,300,854998,11,2015
"42","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam)","aceronko","vien","acenocoumarol_4",2,27,300,854998,0,0,0,0,300,854998,12,2015
"43","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam)","aceronko","vien","acenocoumarol_4",2,27,300,854998,0,0,0,0,300,854998,1,2016
"44","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam)","aceronko","vien","acenocoumarol_4",2,27,300,854998,0,0,0,0,300,854998,2,2016
"45","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam)","aceronko","vien","acenocoumarol_4",2,27,300,854998,0,0,0,0,300,854998,3,2016
"46","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam)","aceronko","vien","acenocoumarol_4",2,27,300,854998,0,0,0,0,300,854998,4,2016
"47","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam)","aceronko","vien","acenocoumarol_4",2,27,300,854998,0,0,0,0,300,854998,5,2016
"48","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam)","aceronko","vien","acenocoumarol_4",2,27,300,854998,0,0,0,0,300,854998,6,2016
"49","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam)","aceronko","vien","acenocoumarol_4",2,27,300,854998,0,0,0,0,300,854998,7,2016
"50","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam)","aceronko","vien","acenocoumarol_4",2,27,300,854998,0,0,0,0,300,854998,8,2016
"51","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam)","aceronko","vien","acenocoumarol_4",2,27,300,854998,0,0,1,2849.99,299,852148.01,9,2016
"52","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam)","aceronko","vien","acenocoumarol_4",2,27,299,852148.01,0,0,7,19950.93,292,832197.08,10,2016
"53","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam)","aceronko","vien","acenocoumarol_4",2,27,292,832197.08,0,0,0,0,292,832197.08,11,2016
"54","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam)","aceronko","vien","acenocoumarol_4",2,27,292,832197.08,0,0,0,0,292,832197.08,12,2016
"55","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam)","aceronko","vien","acenocoumarol_4",2,27,292,832197.08,0,0,0,0,292,832197.08,1,2017
"56","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam)","aceronko","vien","acenocoumarol_4",2,27,292,832197.08,0,0,7,19949.93,285,812247.15,2,2017
"57","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam)","aceronko","vien","acenocoumarol_4",2,27,285,812247.15,0,0,13,37049.87,272,775197.28,3,2017
"58","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam)","aceronko","vien","acenocoumarol_4",2,27,272,775197.28,0,0,16,45599.84,256,729597.44,4,2017
"59","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam)","aceronko","vien","acenocoumarol_4",2,27,256,729597.44,0,0,155,441748.45,101,287848.99,5,2017
"60","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam) 15001, 01/11/2019","aceronko","vien","acenocoumarol_4",2,27,101,287848.99,0,0,7,19949.93,94,267899.06,6,2017
"61","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam) 15001, 01/11/2019","aceronko","vien","acenocoumarol_4",2,27,94,267899.06,0,0,18,51299.82,76,216599.24,7,2017
"62","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam) 15001, 01/11/2019","aceronko","vien","acenocoumarol_4",2,27,76,216599.24,0,0,60,170999.4,16,45599.84,8,2017
"63","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam) 15001, 01/11/2019","aceronko","vien","acenocoumarol_4",2,27,16,45599.84,0,0,15,42749.85,1,2849.99000000001,9,2017
"64","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam) 15001, 01/11/2019","aceronko","vien","acenocoumarol_4",2,27,1,2849.99,0,0,0,0,1,2849.99,10,2017
"65","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam) 15001, 01/11/2019","aceronko","vien","acenocoumarol_4",2,27,1,2849.99,0,0,0,0,1,2849.99,11,2017
"66","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam) 15001, 01/11/2019","aceronko","vien","acenocoumarol_4",2,27,1,2849.99,0,0,0,0,1,2849.99,12,2017
"67","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam) 15001, 01/11/2019","aceronko","vien","acenocoumarol_4",2,27,1,2849.99,0,0,0,0,1,2849.99,1,2018
"68","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam) 15001, 01/11/2019","aceronko","vien","acenocoumarol_4",2,27,1,2849.99,0,0,0,0,1,2849.99,2,2018
"69","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam) 15001, 01/11/2019","aceronko","vien","acenocoumarol_4",2,27,1,2849.99,0,0,0,0,1,2849.99,3,2018
"70","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam) 15001, 01/11/2019","aceronko","vien","acenocoumarol_4",2,27,1,2849.99,0,0,0,0,1,2849.99,4,2018
"71","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam) 15001, 01/11/2019","aceronko","vien","acenocoumarol_4",2,27,1,2849.99,0,0,0,0,1,2849.99,5,2018
"72","AceT","aceronko 4
 , 4mg,viên (pharbaco,việt nam) 15001, 01/11/2019","aceronko","vien","acenocoumarol_4",2,27,1,2849.99,0,0,0,0,1,2849.99,6,2018
"73","ACE001","Aceronko 4mg [Acenocoumarol](Lô:),Date )'HSX:Công ty cổ phần dược phẩm trung ương 1 - Pharbaco.' 'NSX:Việt Nam","aceronko","vien","acenocoumarol_4",2,27,1,2849.99,0,0,1,2849.99,0,0,12,2018
"74","ACE001","Aceronko 4mg [Acenocoumarol](Lô:15001),Date 011119)'HSX:Công ty cổ phần dược phẩm trung ương 1 - Pharbaco.' 'NSX:Việt Nam","aceronko","vien","acenocoumarol_4",2,27,1,2849.99,0,0,0,0,1,2849.99,7,2018
"75","ACE001","Aceronko 4mg [Acenocoumarol](Lô:15001),Date 011119)'HSX:Công ty cổ phần dược phẩm trung ương 1 - Pharbaco.' 'NSX:Việt Nam","aceronko","vien","acenocoumarol_4",2,27,1,2849.99,0,0,0,0,1,2849.99,8,2018
"76","ACE001","Aceronko 4mg [Acenocoumarol](Lô:15001),Date 011119)'HSX:Công ty cổ phần dược phẩm trung ương 1 - Pharbaco.' 'NSX:Việt Nam","aceronko","vien","acenocoumarol_4",2,27,1,2849.99,0,0,0,0,1,2849.99,9,2018
"77","ACE001","Aceronko 4mg [Acenocoumarol](Lô:15001),Date 011119)'HSX:Công ty cổ phần dược phẩm trung ương 1 - Pharbaco.' 'NSX:Việt Nam","aceronko","vien","acenocoumarol_4",2,27,1,2849.99,0,0,0,0,1,2849.99,10,2018
"78","ACE001","Aceronko 4mg [Acenocoumarol](Lô:15001),Date 011119)'HSX:Công ty cổ phần dược phẩm trung ương 1 - Pharbaco.' 'NSX:Việt Nam","aceronko","vien","acenocoumarol_4",2,27,1,2849.99,0,0,0,0,1,2849.99,11,2018
"79","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam)","acetate ringer","chai","acetate_ringer_500",2,47,0,0,50,615000,0,0,50,615000,8,2015
"80","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam)","acetate ringer","chai","acetate_ringer_500",2,47,50,615000,0,0,5,61500,45,553500,9,2015
"81","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam)","acetate ringer","chai","acetate_ringer_500",2,47,45,553500,0,0,19,233700,26,319800,10,2015
"82","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam)","acetate ringer","chai","acetate_ringer_500",2,47,26,319800,60,738000,37,455100,49,602700,11,2015
"83","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam)","acetate ringer","chai","acetate_ringer_500",2,47,49,602700,60,738000,44,541200,65,799500,12,2015
"84","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam)","acetate ringer","chai","acetate_ringer_500",2,47,65,799500,62,762600,52,639600,75,922500,1,2016
"85","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam)","acetate ringer","chai","acetate_ringer_500",2,47,75,922500,60,738000,30,369000,105,1291500,2,2016
"86","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam)","acetate ringer","chai","acetate_ringer_500",2,47,105,1291500,0,0,49,602700,56,688800,3,2016
"87","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam)","acetate ringer","chai","acetate_ringer_500",2,47,56,688800,60,738000,61,750300,55,676500,4,2016
"88","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam)","acetate ringer","chai","acetate_ringer_500",2,47,55,676500,80,984000,54,664200,81,996300,5,2016
"89","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam)","acetate ringer","chai","acetate_ringer_500",2,47,81,996300,60,738000,57,701100,84,1033200,6,2016
"90","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam)","acetate ringer","chai","acetate_ringer_500",2,47,84,1033200,63,774900,69,848700,78,959400,7,2016
"91","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam)","acetate ringer","chai","acetate_ringer_500",2,47,78,959400,60,738000,38,467400,100,1230000,8,2016
"92","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam)","acetate ringer","chai","acetate_ringer_500",2,47,100,1230000,0,0,39,479700,61,750300,9,2016
"93","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam)","acetate ringer","chai","acetate_ringer_500",2,47,61,750300,100,1230000,75,922500,86,1057800,10,2016
"94","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam)","acetate ringer","chai","acetate_ringer_500",2,47,86,1057800,100,1230000,46,565800,140,1722000,11,2016
"95","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam)","acetate ringer","chai","acetate_ringer_500",2,47,140,1722000,250,3075000,49,602700,341,4194300,12,2016
"96","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam)","acetate ringer","chai","acetate_ringer_500",2,47,341,4194300,0,0,60,738000,281,3456300,1,2017
"97","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam)","acetate ringer","chai","acetate_ringer_500",2,47,281,3456300,0,0,17,209100,264,3247200,2,2017
"98","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam)","acetate ringer","chai","acetate_ringer_500",2,47,264,3247200,0,0,59,725700,205,2521500,3,2017
"99","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam)","acetate ringer","chai","acetate_ringer_500",2,47,205,2521500,0,0,94,1156200,111,1365300,4,2017
"100","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam)","acetate ringer","chai","acetate_ringer_500",2,47,111,1365300,0,0,84,1033200,27,332100,5,2017
"101","RiLT2","acetate ringer
 , 500ml,chai (mekophar,việt nam) 16016fn, 11/10/2019","acetate ringer","chai","acetate_ringer_500",2,47,27,332100,0,0,27,332100,0,0,6,2017
"102","ACI001","Aciclovir 200mg [Aciclovir](Lô:120),Date 110321)'HSX:Công ty liên doanh Meyer-BPC' 'NSX:Việt Nam","Aciclovir_200","vien","acyclovir_200",2,15,3247,1100733,0,0,3247,1100733,0,0,7,2018
"103","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam)","aciclovir_800","vien","acyclovir_800",2,15,0,0,1000,1244985,0,0,1000,1244985,8,2015
"104","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam)","aciclovir_800","vien","acyclovir_800",2,15,1000,1244985,0,0,0,0,1000,1244985,9,2015
"105","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam)","aciclovir_800","vien","acyclovir_800",2,15,1000,1244985,0,0,4,4979.92,996,1240005.08,10,2015
"106","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam)","aciclovir_800","vien","acyclovir_800",2,15,996,1240005.08,0,0,20,24899.6,976,1215105.48,11,2015
"107","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam)","aciclovir_800","vien","acyclovir_800",2,15,976,1215105.48,0,0,10,12452.8,966,1202652.68,12,2015
"108","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam)","aciclovir_800","vien","acyclovir_800",2,15,966,1202652.68,0,0,35,43574.3,931,1159078.38,1,2016
"109","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam)","aciclovir_800","vien","acyclovir_800",2,15,931,1159078.38,1000,1244985,0,0,1931,2404063.38,2,2016
"110","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam)","aciclovir_800","vien","acyclovir_800",2,15,1931,2404063.38,0,0,28,34859.44,1903,2369203.94,3,2016
"111","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam)","aciclovir_800","vien","acyclovir_800",2,15,1903,2369203.94,0,0,10,12449.8,1893,2356754.14,4,2016
"112","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam)","aciclovir_800","vien","acyclovir_800",2,15,1893,2356754.14,0,0,167,207911.66,1726,2148842.48,5,2016
"113","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam)","aciclovir_800","vien","acyclovir_800",2,15,1726,2148842.48,1400,1742979,236,293815.28,2890,3598006.2,6,2016
"114","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam)","aciclovir_800","vien","acyclovir_800",2,15,2890,3598006.2,0,0,462,575182.76,2428,3022823.44,7,2016
"115","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam)","aciclovir_800","vien","acyclovir_800",2,15,2428,3022823.44,0,0,300,373494,2128,2649329.44,8,2016
"116","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam)","aciclovir_800","vien","acyclovir_800",2,15,2128,2649329.44,0,0,451,561490.98,1677,2087838.46,9,2016
"117","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam)","aciclovir_800","vien","acyclovir_800",2,15,1677,2087838.46,0,0,406,505463.88,1271,1582374.58,10,2016
"118","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam)","aciclovir_800","vien","acyclovir_800",2,15,1271,1582374.58,0,0,347,432008.06,924,1150366.52,11,2016
"119","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam)","aciclovir_800","vien","acyclovir_800",2,15,924,1150366.52,4000,4979940.4,140,174302.2,4784,5956004.72,12,2016
"120","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam)","aciclovir_800","vien","acyclovir_800",2,15,4784,5956004.72,0,0,178,221606.44,4606,5734398.28,1,2017
"121","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam)","aciclovir_800","vien","acyclovir_800",2,15,4606,5734398.28,0,0,271,337389.58,4335,5397008.7,2,2017
"122","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam)","aciclovir_800","vien","acyclovir_800",2,15,4335,5397008.7,0,0,358,445683.47,3977,4951325.23,3,2017
"123","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam)","aciclovir_800","vien","acyclovir_800",2,15,3977,4951325.23,0,0,253,314982.47,3724,4636342.76,4,2017
"124","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam)","aciclovir_800","vien","acyclovir_800",2,15,3724,4636342.76,0,0,427,531610.73,3297,4104732.03,5,2017
"125","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam) 00416, 03/08/2019","aciclovir_800","vien","acyclovir_800",2,15,3297,4104732.03,0,0,776,966112.24,2521,3138619.79,6,2017
"126","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam) 00416, 03/08/2019","aciclovir_800","vien","acyclovir_800",2,15,1885,2346806.15,0,0,583,725829.17,1302,1620976.98,8,2017
"127","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam) 00416, 03/08/2019","aciclovir_800","vien","acyclovir_800",2,15,1302,1620976.98,0,0,428,532855.72,874,1088121.26,9,2017
"128","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam) 00416, 03/08/2019","aciclovir_800","vien","acyclovir_800",2,15,874,1088121.26,0,0,650,809243.5,224,278877.76,10,2017
"129","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam) 00416, 03/08/2019","aciclovir_800","vien","acyclovir_800",2,15,224,278877.76,0,0,224,278877.76,0,0,11,2017
"130","AciT6","aciclovir 800, 800mg,viên (agimexpharm,việt nam) 00516, 15/11/2019","aciclovir_800","vien","acyclovir_800",2,15,2521,3138619.79,0,0,636,791813.64,1885,2346806.15,7,2017
"131","ACI002","Aciclovir Meyer 800mg [Aciclovir](Lô:140),Date 130321)'HSX:Công ty liên doanh Meyer-BPC' 'NSX:Việt Nam","aciclovir_800","vien","acyclovir_800",2,15,1206,1392930,0,0,413,477015,793,915915,7,2018
"132","ACI002","Aciclovir Meyer 800mg [Aciclovir](Lô:140),Date 130321)'HSX:Công ty liên doanh Meyer-BPC' 'NSX:Việt Nam","aciclovir_800","vien","acyclovir_800",2,15,793,915915,0,0,399,460845,394,455070,8,2018
"133","ACI002","Aciclovir Meyer 800mg [Aciclovir](Lô:140),Date 130321)'HSX:Công ty liên doanh Meyer-BPC' 'NSX:Việt Nam","aciclovir_800","vien","acyclovir_800",2,15,394,455070,0,0,184,212520,210,242550,9,2018
"134","ACI002","Aciclovir Meyer 800mg [Aciclovir](Lô:140),Date 130321)'HSX:Công ty liên doanh Meyer-BPC' 'NSX:Việt Nam","aciclovir_800","vien","acyclovir_800",2,15,210,242550,0,0,210,242550,0,0,10,2018
"135","AcMT3","aciclovir meyer_
 , 800mg
 ,viên (meyer - bpc,việt nam) 0140, 13/03/2021","aciclovir_800","vien","acyclovir_800",2,15,0,0,1500,1732500,147,169785,1353,1562715,5,2018
"136","AcMT3","aciclovir meyer_
 , 800mg
 ,viên (meyer - bpc,việt nam) 0140, 13/03/2021","aciclovir_800","vien","acyclovir_800",2,15,1353,1562715,0,0,147,169785,1206,1392930,6,2018
"137","AcMT2","aciclovir mkp 5%
 , 5%,5g,tube (mekophar,việt nam)","aciclovir_5%","tube","acyclovir_5%",2,15,143,958100,0,0,4,26800,139,931300,3,2016
